"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-02","2019","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-07","2019","01","07","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-08","2019","01","08","†","-6.0","","-11.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-14","2019","01","14","†","-2.0","","-18.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-15","2019","01","15","†","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","30.0","","24.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-16","2019","01","16","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","4.0","","2.0","","30","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-23","2019","01","23","†","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","1.0","","0.6","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-24","2019","01","24","†","9.0","","-10.0","","-0.5","","18.5","","0.0","","26.6","","6.0","","30.6","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-25","2019","01","25","†","9.0","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-26","2019","01","26","†","2.5","","-5.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-29","2019","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-01","2019","02","01","†","-7.0","","-15.0","","-11.0","","29.0","","0.0","","0.0","","0.6","","1.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-02","2019","02","02","†","-6.0","","-16.0","","-11.0","","29.0","","0.0","","0.0","","1.6","","1.6","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-03","2019","02","03","†","-5.0","","-17.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-04","2019","02","04","†","-1.0","","-23.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-05","2019","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-06","2019","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-07","2019","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-08","2019","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-09","2019","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-10","2019","02","10","","","","","","","","","","","","","","","","","","","","","","",""
